id,topic1,지자체,년도,A9_1_1_사계절도로접근성비율,A9_1_2_운송량,A9_2_1_제조업부가가치비율,A9_2_2_제조업고용비율,A9_3_1_소규모산업부가가치비율,A9_3_2_소규모산업대출비율,A9_4_1_이산화탄소배출량,A9_5_1_연구개발비비율,A9_5_2_연구원수,A9_a_1_인프라지원국제공적지원,A9_b_1_고급기술산업비율
,,,,https://www.index.go.kr/unity/potal/sdg/9/SDGIndicatorService.do?idxCd=G0115,https://kosis.kr/statHtml/statHtml.do?orgId=214&tblId=DT_214N_Z00701&conn_path=I2,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1FS1004&conn_path=I2,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1ES3B05S&conn_path=I2,,,https://www.data.go.kr/data/15087285/fileData.do#tab-layer-openapi,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_105001_001&conn_path=I2,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_KBA0021&conn_path=I2,,
,,,,,철도수송 화물 발송톤수,제조업부가가치 금액 (백만원),제조업 취업자 / 전체 취업자,,,지역별 도로부문 이산화탄소 배출량,연구개발비 금액,,,
,,전라북도,2012,,1011185,12135964,,,,3175,474.2,13227,,
,,전라북도,2013,,971706,12233598,0.1386782232,,,3243,436.2,13385,,
,,전라북도,2014,2.1,821173,14031441,0.1343283582,,,3358,460.2,14912,,
,,전라북도,2015,2.13,734895,,0.1321353066,,,3475,404.8,15165,,
,,전라북도,2016,2.17,541708,12987377,0.1262939959,,,3574,411.2,14482,,
,,전라북도,2017,2.2,569305,13043136,0.135828877,,,3152,423.4,14823,,
,,전라북도,2018,2.21,676863,13054346,0.1318327974,,,3032,467.4,15380,,
,,전라북도,2019,2.23,786116,12699750,0.1232583065,,,2989,507.5,15583,,
,,전라북도,2020,2.24,613084,,0.120292887,,,2935,522.6,16438,,
,,전라북도,2021,2.25,646751,,0.1265432099,,,3032,589.3,17505,,
,,전라북도,2022,2.26,545521,,0.1248730964,,,2656,601,18579,,
,,전라북도,2023,2.27,,,0.1321321321,,,,,,,
