id,topic1,지자체,년도,A11_1_1_적정주거환경비율,A11_2_1_대중교통이용접근성비율,A11_3_1_도시계획관리이행비율,A11_4_1_재해사망률,A11_5_1_환경보존법률존재여부,A11_6_1_도시공간균형비율,A11_7_1_도시자원효율성비율,A11_a_1_도시발전국제지원금액,A11_b_1_문화유산보호비율
,,,,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=214&tblId=DT_214006_2019A030&dbUser=NSI_IN_214,https://stat.kosis.kr/statHtml_host/statHtml.do?orgId=214&tblId=DT_214006_2023A061&dbUser=NSI_IN_214,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL7501E&conn_path=D9&vw_cd=MT_GTITLE01,https://jbli.re.kr/archive/2341,,,,,
,,,,,,주택건설 인허가실적,,,,,,
,,전라북도,2012,,,,,,,,,
,,전라북도,2013,,,,,,,,,
,,전라북도,2014,,,,,,,,,
,,전라북도,2015,,,22552,,,,,,
,,전라북도,2016,,,28737,3301,,,,,
,,전라북도,2017,,,17224,3340,,,,,
,,전라북도,2018,,,13019,3860,,,,,
,,전라북도,2019,18.40%,,10352,4021,,,,,
,,전라북도,2020,,,13153,3998,,,,,
,,전라북도,2021,20.10%,,19106,,,,,,
,,전라북도,2022,,,23244,,,,,,
,,전라북도,2023,,14.50%,14689,,,,,,
