id,topic1,지자체,년도,A12_1_1_천연자원관리정책존재여부,A12_2_1_식량손실감소율,A12_3_1_지속가능소비인증제품비율,A12_4_1_폐기물발생비율,A12_5_1_화학물질관리규정이행비율,A12_6_1_지속가능공공조달비율,A12_7_1_지속가능라이프스타일비율,A12_a_1_지속가능소비지원금액
,,,,,,,http://stat.me.go.kr:443/portal/stat/easyStatPage/DT_106N_99_3300351.do ,,,,
,,,,,,,톤 / 일,,,,
,,전라북도,2012,,,,,,,,
,,전라북도,2013,,,,,,,,
,,전라북도,2014,,,,,,,,
,,전라북도,2015,,,,1618.5,,,,
,,전라북도,2016,,,,1599.5,,,,
,,전라북도,2017,,,,1615.6,,,,
,,전라북도,2018,,,,1895.1,,,,
,,전라북도,2019,,,,1578.1,,,,
,,전라북도,2020,,,,1676.6,,,,
,,전라북도,2021,,,,1725.2,,,,
,,전라북도,2022,,,,1703.4,,,,
,,전라북도,2023,,,,,,,,
