id,topic1,지자체,년도,A13_1_1_온실가스배출량,A13_2_1_기후변화적응정책존재여부,A13_3_1_국가적응계획이행비율,A13_a_1_기후변화재정지원금액
,,,,https://www.gir.go.kr/home/board/read.do;jsessionid=kOZ8htPMBwIUdmeY8XrCrYRFFwkMBOBGIk7xba8pjyV5iOjPvg1ctVNY1ZgKYlgW.og_was2_servlet_engine1?pagerOffset=0&maxPageItems=10&maxIndexPages=10&searchKey=&searchValue=&menuId=36&boardId=61&boardMasterId=2&boardCategoryId=,https://www.gihoo.or.kr/localGovBusiness.es?mid=a30203020000&year=2023,,https://www.gihoo.or.kr/localGovBusiness.es?mid=a30203020000&year=2023
,,,,2023년 지역 온실가스 배출량 시범산정 결과,지자체 탄소중립 관련 사업 건수,,지자체 탄소중립 예산 현액
,,전라북도,2012,,,,
,,전라북도,2013,,,,
,,전라북도,2014,,,,
,,전라북도,2015,17809.69,,,
,,전라북도,2016,21934.89,,,
,,전라북도,2017,20617.26,,,
,,전라북도,2018,20848.42,,,
,,전라북도,2019,20631.05,,,
,,전라북도,2020,19507.07,,,
,,전라북도,2021,20254.52,,,
,,전라북도,2022,,,,
,,전라북도,2023,,210,,93448
