id,topic1,지자체,년도,A15_1_1_산림면적변화율,A15_2_1_황폐화토지면적,A15_3_1_생물다양성보호구역비율,A15_4_1_멸종위험종보호비율,A15_5_1_생물다양성보호법률존재여부,A15_6_1_생태계복원활동참여비율,A15_a_1_생물다양성지원금액
,,,,https://kfss.forest.go.kr/stat/ptl/article/articleList.do?curMenu=9795&bbsId=ptlPdsBase,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL13201&conn_path=I2,https://www.nie.re.kr/nie/pgm/edSpecies/edSpeciesList.do?menuNo=200127,,,
,,,,산림 면적 총계,,개발제한구역 면적 (km^2),멸종위기종 지정현황,,,
,,전라북도,2012,,,,,,,
,,전라북도,2013,,,,,,,
,,전라북도,2014,,,,,,,
,,전라북도,2015,443140,,0,,,,
,,전라북도,2016,,,0,,,,
,,전라북도,2017,,,0,,,,
,,전라북도,2018,,,0,,,,
,,전라북도,2019,,,0,,,,
,,전라북도,2020,440746,,0,,,,
,,전라북도,2021,,,0,,,,
,,전라북도,2022,,,0,,,,
,,전라북도,2023,,,0,85,,,
